masters_university,masters_gpa,relevant_work_years,years_python,years_sql,first_job_salary
UCLA,3.34,5,5,1,172998
UCLA,3.28,4,3,1,149817
UCLA,3.64,4,1,4,169502
UCLA,3.65,6,5,3,182194
UCLA,3.87,3,2,2,177366
UCLA,3.83,7,3,3,177418
UCLA,3.52,4,2,2,159200
UCLA,3.24,2,2,1,142181
UCLA,3.47,4,2,4,134129
UCLA,3.61,2,0,1,154685
UCLA,3.5,3,2,3,128045
UCLA,3.41,5,3,1,136729
UCLA,3.62,5,3,2,176471
UCLA,3.43,3,2,3,158344
UCLA,3.4,5,5,5,177520
UCLA,3.63,6,2,6,157396
UCLA,3.45,6,2,2,133945
UCLA,3.61,5,1,5,153234
UCLA,3.62,6,4,6,165667
UCLA,3.27,1,0,1,129433
UCLA,3.43,3,1,0,158444
UCLA,3.91,3,2,2,156312
UCLA,3.26,4,2,4,148494
UCLA,3.02,3,1,3,115300
UCLA,3.09,4,2,1,140845
UCLA,3.56,7,2,6,160383
UCLA,3.56,4,0,0,135405
UCLA,3.52,5,4,2,151638
UCLA,3.86,4,0,3,157243
UCLA,2.88,4,1,2,122442
UCLA,3.65,4,3,3,183916
UCLA,3.94,5,0,1,161391
UCLA,3.27,6,4,4,146220
UCLA,3.46,6,5,4,126461
UCLA,3.36,4,3,3,133881
UCLA,3.33,5,1,1,138933
UCLA,3.47,2,0,0,128131
UCLA,3.91,4,4,1,186598
UCLA,4.0,5,1,2,164872
UCLA,3.47,5,4,3,173592
UCLA,4.0,4,0,1,163949
UCLA,3.56,5,0,2,151074
UCLA,3.99,5,4,1,169218
UCLA,3.53,6,6,1,158987
UCLA,3.59,4,4,3,182310
UCLA,3.64,3,3,3,120054
UCLA,4.0,4,1,1,134500
UCLA,3.77,0,0,0,129588
UCLA,3.38,4,4,4,150411
UCLA,3.8,0,0,0,149117
UCLA,3.46,1,1,1,143649
UCLA,3.43,5,1,1,140656
UCLA,3.78,5,0,2,173441
UCLA,3.56,2,2,0,159998
UCLA,3.62,3,1,0,150848
UCLA,3.56,6,5,2,173808
UCLA,3.64,3,0,1,152185
UCLA,3.66,7,2,6,155378
UCLA,3.07,4,1,0,141400
UCLA,3.72,5,1,5,162196
UCLA,3.31,6,4,1,148174
UCLA,3.19,4,4,0,161856
UCLA,3.54,2,2,2,108999
UCLA,3.57,4,3,3,133351
UCLA,3.38,4,1,3,127007
UCLA,3.76,2,2,0,146096
UCLA,3.22,4,2,0,133818
UCLA,3.45,3,2,1,121979
UCLA,3.41,5,4,2,136310
UCLA,3.54,4,3,4,141561
UCLA,3.62,3,3,1,188951
UCLA,3.3,4,2,0,167589
UCLA,3.73,4,3,4,155043
UCLA,3.57,5,4,0,149302
UCLA,3.08,2,0,0,107481
UCLA,3.06,2,0,1,96514
UCLA,3.55,6,4,2,155885
UCLA,3.5,3,0,2,129249
UCLA,3.53,2,0,2,141096
UCLA,3.55,5,4,5,134957
UCLA,3.61,5,5,1,147249
UCLA,3.79,2,1,2,155295
UCLA,3.28,4,1,3,146652
UCLA,3.26,5,2,0,147212
UCLA,3.28,4,3,4,125508
UCLA,3.63,5,3,0,168053
UCLA,3.86,2,0,1,141163
UCLA,3.45,4,2,3,158100
UC San Diego,3.32,0,0,0,153347
UC San Diego,3.49,1,0,0,175327
UC San Diego,3.55,4,0,0,161342
UC San Diego,3.36,3,2,2,155577
UC San Diego,3.78,2,0,0,182038
UC San Diego,3.65,1,1,0,182829
UC San Diego,3.34,1,1,1,158543
UC San Diego,3.59,0,0,0,138021
UC San Diego,3.88,2,2,0,161257
UC San Diego,3.89,3,1,2,163864
UC San Diego,3.09,0,0,0,113494
UC San Diego,3.17,0,0,0,144289
UC San Diego,3.77,0,0,0,180622
UC San Diego,3.13,0,0,0,141293
UC San Diego,3.07,2,0,0,116261
UC San Diego,3.28,0,0,0,143638
UC San Diego,3.5,2,2,1,166975
UC San Diego,3.37,3,3,3,202661
UC San Diego,3.24,1,1,0,131636
UC San Diego,3.23,0,0,0,138994
UC San Diego,3.22,0,0,0,170109
UC San Diego,3.18,3,0,3,166671
UC San Diego,3.97,0,0,0,179168
UC San Diego,3.47,1,0,1,163007
UC San Diego,3.62,0,0,0,163462
UC San Diego,3.28,3,1,3,176501
UC San Diego,3.35,0,0,0,136984
UC San Diego,3.22,2,0,0,168667
UC San Diego,2.74,2,2,2,122942
UC San Diego,3.05,4,1,4,165216
UC San Diego,2.95,1,0,1,145523
UC San Diego,2.84,2,2,0,135810
UC San Diego,3.1,0,0,0,139954
UC San Diego,3.73,3,3,3,174372
UC San Diego,3.39,0,0,0,134289
UC San Diego,3.72,1,0,0,163673
UC San Diego,3.5,1,0,1,145721
UC San Diego,3.59,0,0,0,162443
UC San Diego,3.17,2,1,1,139106
UC San Diego,3.53,3,2,2,184881
UC San Diego,3.58,2,2,1,154394
UC San Diego,3.26,0,0,0,137214
UC San Diego,3.54,1,1,0,154712
UC San Diego,3.54,3,3,2,195948
UC San Diego,3.26,0,0,0,150899
UC San Diego,3.12,0,0,0,137753
UC San Diego,3.1,3,0,3,164736
UC San Diego,3.42,2,0,1,131889
UC San Diego,3.48,2,1,0,165454
UC San Diego,3.2,4,0,4,193876
UC San Diego,3.41,2,1,0,165458
UC San Diego,3.54,2,0,1,168751
UC San Diego,3.55,6,6,3,195844
UC San Diego,3.79,1,0,0,184698
UC San Diego,3.72,0,0,0,131965
UC San Diego,3.15,2,0,2,129744
UC San Diego,3.82,2,0,1,180626
UC San Diego,3.27,1,0,1,143316
UC San Diego,3.66,0,0,0,179577
UC San Diego,3.42,5,3,0,169039
UC San Diego,3.3,2,1,2,132616
UC San Diego,2.95,0,0,0,115916
UC San Diego,3.36,3,3,2,128370
UC San Diego,3.01,1,0,0,140529
UC San Diego,3.64,1,1,0,164823
UC San Diego,3.78,2,1,2,172145
UC San Diego,3.2,0,0,0,159964
UC San Diego,3.47,2,1,1,184860
UC San Diego,3.22,4,3,3,165445
UC San Diego,3.24,2,0,0,124220
UC San Diego,3.59,1,1,1,176221
UC San Diego,3.39,1,1,1,168178
UC San Diego,3.83,1,1,0,179048
UC San Diego,3.28,1,1,0,169688
UC San Diego,3.65,1,1,0,150457
UC San Diego,3.42,3,3,3,203100
UC San Diego,3.6,0,0,0,143325
UC San Diego,3.29,3,2,1,175942
UC San Diego,3.39,1,1,0,133441
UC San Diego,3.37,2,0,2,148775
UC San Diego,3.19,0,0,0,166184
UC San Diego,3.56,3,1,0,167996
UC San Diego,3.56,3,0,3,185905
UC San Diego,3.55,3,0,3,176365
UC San Diego,3.78,0,0,0,162628
UC San Diego,3.76,3,1,2,201256
UC San Diego,3.31,2,0,1,155909
UC San Diego,3.49,0,0,0,127307
UC San Diego,3.24,1,0,1,141180
UC San Diego,3.41,2,1,2,173712
UC San Diego,3.25,2,1,2,165925
UC San Diego,3.8,2,2,1,156410
UC San Diego,3.49,2,2,1,158057
UC San Diego,3.34,4,1,3,160715
UC San Diego,3.7,3,1,0,171079
UC San Diego,2.86,0,0,0,111122
UC San Diego,2.9,1,1,1,133136
UC San Diego,3.6,1,0,1,154720
UC San Diego,3.41,0,0,0,162856
UC San Diego,3.46,2,1,1,178568
San Jose State,3.37,4,3,2,134591
San Jose State,3.14,6,4,5,107983
San Jose State,3.05,9,5,3,145617
San Jose State,3.1,8,6,8,147045
San Jose State,3.18,5,3,4,126150
San Jose State,3.05,6,0,1,113576
San Jose State,3.38,6,5,5,131180
San Jose State,3.52,6,3,2,143460
San Jose State,2.94,5,0,2,101407
San Jose State,3.35,6,2,1,128151
San Jose State,3.28,3,1,2,129456
San Jose State,3.43,6,0,1,115959
San Jose State,3.34,7,7,5,127877
San Jose State,2.98,6,1,4,95263
San Jose State,3.02,3,1,3,92288
San Jose State,3.35,7,3,7,106064
San Jose State,3.6,6,5,0,147847
San Jose State,2.79,5,4,5,137616
San Jose State,3.43,5,4,0,149261
San Jose State,3.64,4,1,2,106551
San Jose State,3.3,4,4,1,133567
San Jose State,3.48,5,4,3,154002
San Jose State,3.16,8,4,6,121907
San Jose State,3.31,5,3,5,128833
San Jose State,2.93,7,0,3,85000
San Jose State,2.75,5,4,5,113344
San Jose State,3.58,6,6,2,123693
San Jose State,3.09,6,3,1,120273
San Jose State,3.23,7,4,3,103329
San Jose State,2.99,5,2,3,120867
San Jose State,2.99,3,0,2,119832
San Jose State,3.3,4,3,4,112264
San Jose State,3.16,5,4,1,102418
San Jose State,3.43,4,4,1,95000
San Jose State,3.45,6,6,6,135361
San Jose State,3.42,5,2,2,117939
San Jose State,3.4,9,9,2,118287
San Jose State,3.73,3,2,3,141402
San Jose State,3.07,6,4,3,113306
San Jose State,3.33,4,3,4,108916
San Jose State,3.62,5,5,5,132948
San Jose State,3.66,6,5,6,161032
San Jose State,2.98,2,0,1,109528
San Jose State,3.26,6,0,5,120714
San Jose State,3.68,9,4,9,160134
San Jose State,3.47,5,3,1,111388
San Jose State,3.39,6,4,0,128592
San Jose State,3.29,7,3,2,128538
San Jose State,3.24,6,3,4,118492
San Jose State,3.41,5,5,3,138410
San Jose State,3.28,2,1,0,99510
San Jose State,3.33,7,3,4,137507
San Jose State,3.36,6,3,1,134863
San Jose State,3.17,4,2,2,85000
San Jose State,3.47,6,6,4,155908
San Jose State,4.0,5,5,3,106749
San Jose State,2.9,5,3,2,100567
San Jose State,3.42,7,3,3,147448
San Jose State,3.15,4,2,3,111622
San Jose State,3.48,7,1,5,111292
San Jose State,3.35,4,2,4,108034
San Jose State,3.53,5,1,2,144426
San Jose State,3.63,9,1,4,110927
San Jose State,3.39,8,0,2,143529
San Jose State,3.62,6,4,3,138476
San Jose State,2.75,4,0,0,85000
San Jose State,3.74,5,3,2,130526
San Jose State,3.43,6,3,1,113921
San Jose State,3.61,6,2,3,148822
San Jose State,3.03,6,5,5,133210
San Jose State,3.13,6,3,6,97841
San Jose State,3.38,6,5,3,126121
San Jose State,3.34,4,3,0,108436
San Jose State,3.41,5,0,1,141735
San Jose State,3.61,7,1,0,112471
San Jose State,2.9,4,2,3,131650
San Jose State,3.58,6,6,6,143419
San Jose State,3.34,5,0,3,104499
San Jose State,3.29,6,0,1,109455
San Jose State,2.97,5,5,0,101459
San Jose State,3.47,8,8,8,128193
San Jose State,2.74,7,1,2,105532
San Jose State,3.5,4,2,0,107287
San Jose State,2.97,7,5,1,85000
San Jose State,3.35,5,1,1,116129
San Jose State,3.31,5,1,3,95270
San Jose State,3.63,6,2,6,128348
San Jose State,3.3,5,3,1,109156
San Jose State,3.17,7,2,5,110591
San Jose State,3.21,5,2,0,147438
San Jose State,3.66,5,1,0,132340
San Jose State,3.47,5,4,0,133229
San Jose State,3.24,5,0,5,93836
San Jose State,3.28,7,1,4,115354
San Jose State,2.95,7,1,6,118749
San Jose State,3.44,8,8,0,122942
San Jose State,2.9,9,9,0,135687
San Jose State,3.53,4,2,4,112570
San Jose State,3.37,6,1,0,118727
San Jose State,3.94,4,3,0,133628
